"","gene","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y"
"6785","LINC00638",700,1834,10,2031,1285,1930,1184,177,259,393,108,1472,256,369,237,1361,324,764,320,58,557,1132,282,133,346,533,310,2734,268,176
"6591","L1CAM",715,2681,83,634,261,770,441,204,1171,35,29,131,151,122,632,336,140,624,1346,122,584,1054,139,189,75,2540,18,420,17,5951
"11981","SLC25A27",52,794,1287,951,925,1196,183,1490,893,569,1741,216,937,713,815,87,433,174,1015,494,1160,299,1583,614,762,284,391,185,265,1208
"2107","CD300C",173,3018,150,845,1399,2267,191,374,140,55,1040,35,407,139,348,23,132,112,2191,111,1080,479,166,295,642,107,82,71,163,5502
"8858","NPNT",1164,296,72,1,39,199,19,311,355,21,26,26,870,30,19,52,21,225,586,348,1964,922,20,1934,541,216,52,746,33,10634
"3132","DACT3",984,289,19,29,543,228,26,231,164,8,15,37,1089,20,24,12,14,93,893,441,1329,234,23,2322,281,491,50,312,36,11543
"1026","ATP1B1",145,434,310,1499,2258,226,405,1141,718,866,3508,1237,303,551,742,1214,288,50,738,89,1179,285,182,305,45,299,1200,574,487,604
"9819","PLEKHA6",255,346,612,131,9,17,375,807,626,483,12,476,891,119,385,351,748,880,265,447,773,379,1628,1440,612,6350,302,542,1052,1001
"13972","TSPAN8",166,118,1281,437,65,37,529,90,1826,692,171,1068,254,1478,997,253,1326,658,21,215,145,145,2879,245,213,5501,910,590,31,18
"12418","SOCS3",5,570,430,741,45,57,22,389,2,1421,5681,1,296,4,101,818,313,550,127,1095,951,15,590,177,832,58,1353,4,77,5971
"6859","LINC01137",346,672,775,1593,1708,600,764,2245,1194,256,1366,853,621,1035,1254,363,216,151,409,467,1377,168,1155,150,201,1338,337,235,546,379
"3508","DOC2A",398,29,2644,276,328,42,528,257,420,1753,3745,285,69,490,582,3284,662,836,187,369,454,124,123,32,209,703,2899,457,529,330
"9450","PDE7B",1310,469,1496,1393,756,2012,1404,665,464,420,249,450,118,992,689,373,910,1401,946,223,198,738,1138,120,724,1321,407,989,503,192
"6896","LINGO1",1133,897,108,122,334,148,282,769,590,287,114,862,1433,138,255,222,256,740,446,564,1378,1270,127,3144,268,3302,155,2277,302,1308
"12027","SLC2A13",421,1398,583,1824,1536,917,1267,739,543,732,1310,591,286,485,831,609,825,657,1624,296,358,927,168,443,339,676,517,977,601,756
"7105","LOC100507071",826,2129,180,1861,1870,1705,1502,1393,379,93,116,600,277,984,453,133,559,528,1279,239,253,1309,534,400,451,1665,199,706,490,127
"11931","SLC16A9",840,1073,224,48,97,236,251,287,199,43,39,53,911,63,118,41,196,1564,2027,965,682,1109,103,746,1284,1675,33,167,130,8083
"1452","C11orf96",8,2125,161,1014,880,1655,96,24,613,560,1034,178,28,299,331,178,538,315,857,294,393,341,1220,281,651,436,880,1636,1,6387
"4534","FGF18",152,1598,79,627,41,352,132,69,411,1684,557,1063,299,129,151,2256,495,533,77,1917,2054,991,427,699,611,233,2112,1444,178,2088
"6166","ITGB2",25,277,333,1039,2628,368,29,2936,546,195,2695,160,155,310,977,125,143,29,2685,85,3055,233,80,426,36,110,53,67,184,3565
"4766","FYB",347,218,237,1050,6735,181,161,2836,338,169,1595,404,525,130,354,193,160,30,1931,210,2286,159,89,923,39,181,285,358,204,1224
"13925","TRPV4",131,357,413,758,457,389,256,291,936,748,4957,623,384,750,469,1454,198,129,617,165,2712,250,429,75,191,537,1663,157,483,2927
"2141","CD74",17,54,2319,190,369,288,45,631,826,1077,6866,786,129,2079,630,1778,169,26,247,51,1376,222,409,56,30,186,2353,107,195,442
"3929","ENPP5",1220,117,687,204,212,123,329,780,170,1663,375,2703,382,774,83,3277,361,986,143,1034,859,203,717,447,525,160,3227,946,1303,185
"8447","NAP1L3",413,114,2490,51,206,49,466,173,1152,658,447,936,713,623,584,192,1534,944,369,733,95,398,1476,942,282,4421,2583,403,305,546
"5413","HAS2",51,177,147,248,113,30,76,158,107,5492,4527,263,173,98,194,1609,230,690,7,1621,5167,25,30,80,460,287,848,276,89,1189
"11876","SIX2",330,41,330,165,59,198,52,81,219,296,399,851,93,527,55,778,219,408,101,118,432,89,2546,206,8,2402,12124,227,120,1000
"9109","OR51E2",820,121,37,34,837,73,30,669,92,88,237,43,487,6,10,135,11,265,659,1944,7791,83,8,734,60,177,143,174,57,8657
"5281","GSDMB",219,167,3277,1405,196,920,782,2855,272,983,974,281,133,1827,915,383,162,270,206,358,1048,66,3806,57,713,581,360,84,1096,136
"7281","LPAR6",866,262,153,210,445,284,581,46,1600,539,283,3794,381,560,335,2228,719,679,180,62,171,727,305,623,117,684,3728,3646,157,290
"2146","CD84",108,529,457,1830,2450,1170,202,1089,437,122,2333,182,194,177,217,188,86,14,1923,166,917,85,152,99,135,435,135,128,185,8553
"5943","IGSF6",47,637,691,2444,5416,556,178,2760,836,104,2320,282,518,435,993,172,215,1,2814,26,862,386,110,315,16,168,13,66,311,1140
"6760","LINC00174",1030,1298,2579,528,160,1032,1279,714,415,362,247,208,843,734,568,305,1304,1420,1086,332,326,1992,1209,589,1017,894,457,192,825,919
"5295","GSTM1",3404,621,298,828,2271,451,440,816,408,14,604,93,19,304,291,136,59,517,1112,159,8499,567,322,27,496,720,111,184,317,786
"8446","NAP1L2",961,1565,455,307,322,704,318,308,517,242,179,189,389,80,402,167,384,1685,1710,852,572,977,155,327,1981,1427,99,547,248,6908
"12560","SPRR2F",81,1555,29,986,299,1051,362,688,18,1571,435,1631,980,471,50,2304,206,123,64,313,1814,822,319,1169,471,23,5162,840,895,286
"14634","WNT10B",11,539,425,236,16,258,32,70,649,4284,802,620,120,2874,265,2568,660,354,26,255,334,702,2321,121,1278,243,4568,81,49,354
"11985","SLC25A30",770,378,2179,218,282,265,641,563,256,382,640,421,333,1351,288,366,865,1303,491,1208,287,596,3183,379,1156,2558,2559,117,840,298
"6304","KCNJ5",16,2009,396,1214,1599,2558,144,250,664,228,2988,133,81,100,636,108,314,7,3578,20,121,80,94,299,387,117,159,175,94,6684
"2724","COL6A6",890,46,422,113,393,22,1219,456,630,320,268,2445,466,1082,1026,516,422,1355,20,133,923,62,845,217,224,8722,595,250,1357,166
"8270","MTMR11",1442,1748,154,723,336,457,717,410,115,588,429,1620,378,277,153,661,579,991,362,1731,848,1292,618,1855,463,1368,2479,845,1248,718
"8385","MYOT",2396,937,832,392,1485,867,719,252,2612,99,231,428,752,176,1663,93,647,803,1405,503,403,342,236,362,833,2347,221,1143,200,2380
"10709","RAPH1",1274,854,329,930,305,699,972,129,341,1178,222,1807,192,510,212,1266,944,2413,468,496,155,1091,1119,376,336,886,2358,2165,654,1100
"11126","ROCK1P1",266,67,1686,1340,651,187,1155,824,1036,833,1192,533,25,2816,1266,598,773,1449,490,77,302,705,641,14,990,4778,215,387,421,198
"2786","COTL1",260,552,169,488,129,354,3863,32,171,2306,76,998,648,334,889,321,2434,5564,129,126,57,497,367,464,1406,302,115,1415,1429,48
"7969","MLC1",672,648,385,2430,1937,800,1419,71,311,729,260,2882,174,150,310,141,807,1701,584,746,14,206,612,160,850,376,1333,4711,450,167
"13529","TMEM35A",105,432,891,336,167,147,85,409,1472,2133,1706,524,226,1204,681,848,821,935,432,556,931,1327,646,390,868,3652,1309,502,80,2370
"11812","SHC4",611,374,783,69,22,138,573,1132,2265,892,58,252,1213,1435,1112,1076,636,1672,170,54,1640,2670,946,318,1884,3256,42,346,270,296
"9145","OSR2",147,144,74,482,228,185,217,174,71,282,594,1359,270,446,27,925,97,158,84,954,448,77,4181,418,15,625,11649,134,1194,586
"8342","MYH11",908,244,17,8,213,172,50,201,160,13,106,14,1602,33,31,11,5,21,712,616,3642,571,11,5655,220,478,127,249,44,10203
"5527","HGF",522,1088,922,1992,2902,783,1166,755,2110,298,1574,2054,484,985,1284,820,370,182,445,212,386,227,624,135,35,2117,506,699,235,498
"5249","GRIA3",744,1112,2601,120,94,314,685,1241,194,212,133,104,950,1024,308,95,1290,1571,1569,826,215,2615,503,697,1906,4039,259,36,472,576
"2455","CHRD",653,688,509,551,1094,753,569,1961,579,237,579,2030,1554,647,295,854,354,214,296,1405,1040,315,2296,1293,46,580,3185,324,1087,518
"10735","RASGRP3",2163,111,570,805,2062,188,1542,1569,671,391,779,904,220,605,418,1128,360,2381,745,420,197,128,137,212,107,4346,871,1275,1036,190
"7759","MEDAG",55,173,89,630,66,121,240,42,17,1979,1661,2437,21,363,48,2052,172,192,15,647,605,182,549,92,147,86,13281,176,566,100
"3036","CXCL2",76,503,2581,656,76,652,1482,26,25,1138,118,57,574,17,1536,267,2089,4563,104,177,96,21,2109,432,6199,276,86,162,726,33
"13169","TET3",1144,1753,366,1297,2073,2053,855,426,368,501,835,303,520,117,261,210,385,718,2342,668,340,758,245,490,712,332,498,984,511,4796
"10377","PSMD5-AS1",1113,1065,51,341,1380,4329,394,3184,271,95,18,532,439,248,12,1807,208,131,1295,134,882,1051,634,576,261,27,1539,4133,436,413
"12516","SPEG",583,120,26,17,87,56,11,241,275,7,61,21,2688,13,23,17,3,11,371,520,4675,513,4,5494,56,885,97,108,20,10238
"7227","LOC653786",570,134,804,1806,3114,937,695,345,1088,1079,1292,3358,77,439,548,762,931,461,1243,489,16,121,721,134,734,346,1529,3002,458,59
"9192","P4HA3",247,161,203,606,248,359,134,7012,846,442,230,801,432,1912,104,4736,46,86,379,353,3682,536,1151,242,386,228,705,238,485,352
